종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"007210","벽산","KOSPI","비금속광물","3975","-30","-0.75","272526000000"
"002760","보락","KOSPI","화학","2335","-25","-1.06","139866500000"
"003850","보령제약","KOSPI","의약품","16800","-250","-1.47","1153992000000"
"000890","보해양조","KOSPI","음식료품","1035","0","0.00","141573488265"
"003000","부광약품","KOSPI","의약품","23050","1150","5.25","1638003279450"
"001270","부국증권","KOSPI","증권","24700","150","0.61","256136184200"
"001275","부국증권우","KOSPI","증권","22800","0","0.00","68400000000"
"026940","부국철강","KOSPI","철강금속","7010","940","15.49","140200000000"
"015350","부산가스","KOSPI","전기가스업","58600","-400","-0.68","644600000000"
"011390","부산산업","KOSPI","비금속광물","135500","-2000","-1.45","143088000000"
"005030","부산주공","KOSPI","운수장비","618","9","1.48","35133001506"
"002070","비비안","KOSPI","섬유의복","3400","-15","-0.44","101299566000"
"100220","비상교육","KOSPI","서비스업","10150","0","0.00","131916921150"
"030790","비케이탑스","KOSPI","서비스업","7850","660","9.18","115205312600"
"005180","빙그레","KOSPI","음식료품","56200","-400","-0.71","553639744200"
"003960","사조대림","KOSPI","음식료품","33300","300","0.91","305176751100"
"008040","사조동아원","KOSPI","음식료품","1375","-10","-0.72","194073825000"
"007160","사조산업","KOSPI","농업, 임업 및 어업","59800","-400","-0.66","299000000000"
"014710","사조씨푸드","KOSPI","음식료품","5690","-80","-1.39","97973509670"
"006090","사조오양","KOSPI","음식료품","10850","-150","-1.36","102236718150"
"001470","삼부토건","KOSPI","건설업","3110","-120","-3.72","427769204480"
"006400","삼성SDI","KOSPI","전기전자","750000","-38000","-4.82","51573397500000"
"006405","삼성SDI우","KOSPI","전기전자","420000","-8500","-1.98","679516320000"
"006660","삼성공조","KOSPI","운수장비","20100","450","2.29","163338911400"
"028260","삼성물산","KOSPI","유통업","131500","-1500","-1.13","24575651151500"
"02826K","삼성물산우B","KOSPI","유통업","128000","-500","-0.39","208310400000"
"207940","삼성바이오로직스","KOSPI","의약품","948000","-14000","-1.46","62724420000000"
"032830","삼성생명","KOSPI","보험","74300","200","0.27","14860000000000"
"018260","삼성에스디에스","KOSPI","서비스업","170000","-2500","-1.45","13154226000000"
"028050","삼성엔지니어링","KOSPI","서비스업","23300","-450","-1.89","4566800000000"
"009150","삼성전기","KOSPI","전기전자","182500","-2500","-1.35","13631599520000"
"009155","삼성전기우","KOSPI","전기전자","101500","-500","-0.49","295058876000"
"005930","삼성전자","KOSPI","전기전자","76000","-800","-1.04","453703473800000"
"005935","삼성전자우","KOSPI","전기전자","70300","-600","-0.85","57848935010000"
"001360","삼성제약","KOSPI","의약품","7330","-90","-1.21","492298039070"
"010140","삼성중공업","KOSPI","운수장비","6200","-110","-1.74","3906000000000"
"010145","삼성중공우","KOSPI","운수장비","259000","-3500","-1.33","29744855000"
"016360","삼성증권","KOSPI","증권","50300","800","1.62","4491790000000"
"068290","삼성출판사","KOSPI","서비스업","41400","-150","-0.36","414000000000"
"029780","삼성카드","KOSPI","기타금융","34500","-50","-0.14","3997131739500"
"000810","삼성화재","KOSPI","보험","228000","1000","0.44","10801462836000"
"000815","삼성화재우","KOSPI","보험","173500","-500","-0.29","553812000000"
"006110","삼아알미늄","KOSPI","철강금속","26700","-800","-2.91","293700000000"
"145990","삼양사","KOSPI","음식료품","65100","0","0.00","671405529900"
"145995","삼양사우","KOSPI","음식료품","45950","600","1.32","17004716500"
"003230","삼양식품","KOSPI","음식료품","82900","-500","-0.60","624486943500"
