종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"066360","체리부로","KOSDAQ","음식료·담배","1790","-20","-1.10","49891549460"
"047820","초록뱀미디어","KOSDAQ","오락·문화","2545","-45","-1.74","417759039575"
"052300","초록뱀컴퍼니","KOSDAQ","운송","1395","-20","-1.41","96518329965"
"094360","칩스앤미디어","KOSDAQ","반도체","15400","600","4.05","148460851000"
"016920","카스","KOSDAQ","유통","5760","-80","-1.37","137921460480"
"284620","카이노스메드","KOSDAQ","기타서비스","3025","0","0.00","318707145350"
"293490","카카오게임즈","KOSDAQ","디지털컨텐츠","79700","-200","-0.25","5951520191000"
"042000","카페24","KOSDAQ","인터넷","38750","-50","-0.13","729845903750"
"317530","캐리소프트","KOSDAQ","오락·문화","14050","-150","-1.06","96947753800"
"071850","캐스텍코리아","KOSDAQ","운송장비·부품","4780","20","0.42","79200718640"
"180400","캔서롭","KOSDAQ","기타서비스","7740","0","0.00","178624199880"
"050110","캠시스","KOSDAQ","IT부품","1990","-15","-0.75","146909994820"
"900310","컬러레이","KOSDAQ","금융","1795","0","0.00","96930000000"
"078340","컴투스","KOSDAQ","디지털컨텐츠","103900","100","0.10","1336821038000"
"307930","컴퍼니케이","KOSDAQ","금융","9250","80","0.87","144392500000"
"263700","케어랩스","KOSDAQ","소프트웨어","9180","30","0.33","158226773760"
"214370","케어젠","KOSDAQ","제약","72100","-400","-0.55","774570300000"
"221980","케이디켐","KOSDAQ","화학","16800","-150","-0.88","67784640000"
"317030","케이비17호스팩","KOSDAQ","금융","2130","0","0.00","11631930000"
"323940","케이비제18호스팩","KOSDAQ","금융","2175","15","0.69","17012850000"
"330990","케이비제19호스팩","KOSDAQ","금융","2225","10","0.45","9569725000"
"342550","케이비제20호스팩","KOSDAQ","금융","2200","15","0.69","14302200000"
"192250","케이사인","KOSDAQ","소프트웨어","2565","20","0.79","181271774205"
"115500","케이씨에스","KOSDAQ","컴퓨터서비스","7550","10","0.13","90600000000"
"089150","케이씨티","KOSDAQ","컴퓨터서비스","7370","-30","-0.41","126395500000"
"025880","케이씨피드","KOSDAQ","음식료·담배","3250","-20","-0.61","54326538500"
"093320","케이아이엔엑스","KOSDAQ","인터넷","51600","-400","-0.77","251808000000"
"073010","케이에스피","KOSDAQ","기계·장비","2100","-35","-1.64","76003739700"
"105330","케이엔더블유","KOSDAQ","일반전기전자","10200","470","4.83","123780896400"
"272110","케이엔제이","KOSDAQ","기계·장비","17350","350","2.06","128093453800"
"039420","케이엘넷","KOSDAQ","통신서비스","4320","5","0.12","104348433600"
"083550","케이엠","KOSDAQ","섬유·의류","9180","10","0.11","98731946520"
"032500","케이엠더블유","KOSDAQ","통신장비","42600","100","0.24","1696369615800"
"225430","케이엠제약","KOSDAQ","화학","2580","5","0.19","71948589000"
"036030","케이티알파","KOSDAQ","유통","8440","-40","-0.47","413722748520"
"064820","케이프","KOSDAQ","운송장비·부품","4835","20","0.42","149409854880"
"347140","케이프이에스제4호","KOSDAQ","금융","2330","-80","-3.32","7010970000"
"256940","케이피에스","KOSDAQ","반도체","15700","100","0.64","281018272100"
"024880","케이피에프","KOSDAQ","금속","4530","-45","-0.98","80263672500"
"042040","케이피엠테크","KOSDAQ","화학","2675","-65","-2.37","375322220100"
"054410","케이피티유","KOSDAQ","금속","8520","0","0.00","43111200000"
"274090","켄코아에어로스페이스","KOSDAQ","운송장비·부품","16300","350","2.19","192080634400"
"217600","켐온","KOSDAQ","기타서비스","4560","-120","-2.56","291207710400"
"089010","켐트로닉스","KOSDAQ","화학","26350","-500","-1.86","391512436950"
"220260","켐트로스","KOSDAQ","화학","9610","-590","-5.78","255225330270"
"052400","코나아이","KOSDAQ","소프트웨어","34200","1200","3.64","532121835600"
"033110","코너스톤네트웍스","KOSDAQ","유통","204","0","0.00","26473567764"
"046070","코다코","KOSDAQ","운송장비·부품","1280","-15","-1.16","50002247680"
"047770","코데즈컴바인","KOSDAQ","섬유·의류","3200","45","1.43","121096326400"
"078940","코드네이처","KOSDAQ","건설","3400","-120","-3.41","108832453000"
"080530","코디","KOSDAQ","화학","2025","-45","-2.17","57289878450"
"224060","코디엠","KOSDAQ","반도체","297","-8","-2.62","81306746136"
"104540","코렌텍","KOSDAQ","의료·정밀기기","15400","0","0.00","182177410800"
"027050","코리아나","KOSDAQ","화학","4620","10","0.22","184800000000"
"290510","코리아센터","KOSDAQ","소프트웨어","8150","120","1.49","621035191550"
"190650","코리아에셋투자증권","KOSDAQ","금융","13000","50","0.39","83044000000"
"101670","코리아에스이","KOSDAQ","금속","1900","50","2.70","35910000000"
"123410","코리아에프티","KOSDAQ","운송장비·부품","3905","-10","-0.26","108719354920"
"036690","코맥스","KOSDAQ","통신장비","6770","-140","-2.03","103495230870"
"049430","코메론","KOSDAQ","의료·정밀기기","13650","400","3.02","123505200000"
"183300","코미코","KOSDAQ","반도체","79900","-1100","-1.36","800633715300"
"041960","코미팜","KOSDAQ","제약","11250","50","0.45","722091105000"
"089890","코세스","KOSDAQ","반도체","13100","-300","-2.24","217263002200"
"009730","코센","KOSDAQ","금속","905","0","0.00","26398999325"
"082660","코스나인","KOSDAQ","화학","1570","-45","-2.79","62335072760"
"222040","코스맥스엔비티","KOSDAQ","음식료·담배","9430","-20","-0.21","194522040000"
"241710","코스메카코리아","KOSDAQ","화학","16050","150","0.94","171414000000"
"069110","코스온","KOSDAQ","화학","2630","0","0.00","62963935800"
"166480","코아스템","KOSDAQ","제약","20050","-300","-1.47","316853879300"
"045970","코아시아","KOSDAQ","IT부품","8930","-80","-0.89","234991842680"
"196450","코아시아옵틱스","KOSDAQ","의료·정밀기기","2595","-20","-0.76","106998664470"
"029960","코엔텍","KOSDAQ","기타서비스","9010","70","0.78","450500000000"
"102940","코오롱생명과학","KOSDAQ","제약","33450","650","1.98","381743308200"
"950160","코오롱티슈진","KOSDAQ","제약","8010","0","0.00","489551575500"
"033290","코웰패션","KOSDAQ","유통","8080","-40","-0.49","715081890720"
"056360","코위버","KOSDAQ","통신장비","8980","-90","-0.99","87975264000"
"282880","코윈테크","KOSDAQ","기계·장비","25250","350","1.41","239244962000"
"121850","코이즈","KOSDAQ","IT부품","2610","-15","-0.57","40453105140"
"015710","코콤","KOSDAQ","통신장비","7350","-140","-1.87","128849175000"
"052330","코텍","KOSDAQ","정보기기","10100","0","0.00","157302975200"
"322780","코퍼스코리아","KOSDAQ","오락·문화","3560","-10","-0.28","127290199440"
"126600","코프라","KOSDAQ","화학","8000","890","12.52","168925072000"
"200130","콜마비앤에이치","KOSDAQ","제약","39900","-600","-1.48","1178787964200"
"294570","쿠콘","KOSDAQ","소프트웨어","90000","-2900","-3.12","726936390000"
"317690","퀀타매트릭스","KOSDAQ","의료·정밀기기","16900","100","0.60","251349035600"
"365270","큐라클","KOSDAQ","기타서비스","44500","-800","-1.77","594340576000"
"060280","큐렉소","KOSDAQ","유통","8420","-50","-0.59","281543051140"
"040350","큐로컴","KOSDAQ","컴퓨터서비스","1460","5","0.34","183921269120"
"051780","큐로홀딩스","KOSDAQ","유통","596","-7","-1.16","71878073820"
"115180","큐리언트","KOSDAQ","기타서비스","30300","0","0.00","269168898600"
"043090","큐브앤컴퍼니","KOSDAQ","유통","2400","-30","-1.23","84376915200"
"182360","큐브엔터","KOSDAQ","오락·문화","14050","250","1.81","193955852350"
"066310","큐에스아이","KOSDAQ","반도체","16600","-150","-0.90","140952260000"
"016600","큐캐피탈","KOSDAQ","금융","573","1","0.17","97863132411"
"043590","크로바하이텍","KOSDAQ","반도체","2485","0","0.00","73965137855"
"114120","크루셜텍","KOSDAQ","IT부품","1250","-10","-0.79","26201643750"
"110790","크리스에프앤씨","KOSDAQ","섬유·의류","41200","-300","-0.72","482677776000"
"900250","크리스탈신소재","KOSDAQ","금융","1445","-25","-1.70","97947666140"
"083790","크리스탈지노믹스","KOSDAQ","기타서비스","8060","200","2.54","558126677160"
"045520","크린앤사이언스","KOSDAQ","기계·장비","20100","300","1.52","130650000000"
"036170","클라우드에어","KOSDAQ","반도체","1820","0","0.00","101978773260"
"214150","클래시스","KOSDAQ","의료·정밀기기","22700","350","1.57","1469072812800"
"352770","클리노믹스","KOSDAQ","기타서비스","13300","450","3.50","179152875300"
"237880","클리오","KOSDAQ","화학","22500","150","0.67","391342770000"
