Date,Open,High,Low,Close,Volume
2021-03-15,127200,127300,123500,123500,565311
2021-03-16,124800,128500,123800,127800,662036
2021-03-17,127900,128700,124300,125800,644262
2021-03-18,126900,129300,125200,125600,638033
2021-03-19,123200,125500,122500,125300,578638
2021-03-22,125400,129900,124500,128500,930683
2021-03-23,130200,133600,127900,128700,1231631
2021-03-24,128600,132400,128600,131500,840515
2021-03-25,132200,133500,130700,133500,736400
2021-03-26,135400,136700,132100,136000,1070731
2021-03-29,143000,144000,139000,139600,1664542
2021-03-30,138700,139700,137100,137100,669697
2021-03-31,139000,139800,136000,136000,580056
2021-04-01,135300,136900,132500,135800,581610
2021-04-02,135500,136300,132600,132900,651756
2021-04-05,132700,132700,128100,128300,851307
2021-04-06,128400,130300,126400,127400,660319
2021-04-07,127600,130000,127300,127800,498058
2021-04-08,128400,130200,126700,129000,629807
2021-04-09,130000,130200,128100,128100,445945
2021-04-12,128500,130100,127400,130000,496681
2021-04-13,130600,135900,129300,135900,1160769
2021-04-14,136600,137900,134800,134800,776831
2021-04-15,134700,135500,132600,134200,675270
2021-04-16,135100,135200,132300,132600,630837
2021-04-19,132200,136300,130500,135000,1103933
2021-04-20,133900,134500,129600,130000,1252981
2021-04-21,128200,129100,124600,124600,1380687
2021-04-22,125400,126900,123000,123400,800354
2021-04-23,121600,124500,120900,123100,836353
2021-04-26,123100,123200,119900,120400,1094439
2021-04-27,120000,121000,115800,116000,1702993
2021-04-28,115000,118600,112100,112400,1691922
2021-04-29,112400,116200,110500,112300,1668671
2021-04-30,113100,113900,110800,112200,1002070
2021-05-03,111500,112900,105500,105500,2032784
2021-05-04,104400,110700,104000,110200,2005288
2021-05-06,110500,111300,106500,108100,1094008
2021-05-07,107900,114500,107900,112900,1402225
2021-05-10,117500,117700,114200,116200,1249321
2021-05-11,115100,116500,112800,114100,885969
2021-05-12,114100,116100,110200,110500,1143616
2021-05-13,109000,112900,108700,110100,992433
2021-05-14,110100,113800,109000,113800,750332
2021-05-17,115200,116700,112800,114300,935271
2021-05-18,110900,116500,110800,115600,860484
2021-05-20,115500,117000,114100,116700,604239
2021-05-21,117300,118500,115000,115000,672427
2021-05-24,114300,115800,113300,113300,890780
2021-05-25,113400,118500,113300,118100,836661
2021-05-26,117900,118400,116500,117000,509396
2021-05-27,117700,122900,115000,122900,2088910
