Date,Open,High,Low,Close,Volume
2019-04-24,23583,23782,23181,23684,443136
2019-04-25,23584,23684,23081,23283,292233
2019-04-26,23182,23584,22681,23082,366725
2019-04-29,23181,23984,22880,23985,512703
2019-04-30,23884,24286,23784,24086,494890
2019-05-02,24085,24989,23985,24688,742545
2019-05-03,25289,25890,25188,25691,1098989
2019-05-07,25290,26093,25290,25591,664716
2019-05-08,25390,26093,25189,25792,700167
2019-05-09,26793,26793,25389,25390,1352763
2019-05-10,25792,26293,25591,26093,1006921
2019-05-13,26193,26193,25491,25792,584824
2019-05-14,25491,27096,25390,26896,1360661
2019-05-15,27195,27295,26092,26494,1241060
2019-05-16,26593,26894,26192,26795,558891
2019-05-17,25892,25992,24888,24989,5222004
2019-05-20,25389,25790,25188,25390,899474
2019-05-21,25388,25589,25088,25089,694961
2019-05-22,25188,25388,24386,25189,840648
2019-05-23,25087,25489,24787,24888,425136
2019-05-24,24687,24887,24185,24888,766145
2019-05-27,25089,25390,24186,24487,550142
2019-05-28,24285,25089,24186,24688,565899
2019-05-29,24587,24788,24186,24387,323116
2019-05-30,24487,25189,24487,24989,460680
2019-05-31,24888,25290,24688,24989,325040
2019-06-03,24786,25187,24486,24587,316035
2019-06-04,24585,24886,23382,23985,847685
2019-06-05,24286,24387,23984,24186,307665
2019-06-07,24086,24186,23584,24086,537162
2019-06-10,24085,25087,23884,24888,506951
2019-06-11,24888,25088,24587,24989,244302
2019-06-12,24987,25087,24586,24888,212619
2019-06-13,24887,25589,24787,25390,747390
2019-06-14,25489,25689,24988,25089,357300
2019-06-17,25089,25089,24285,24387,349662
2019-06-18,24385,24686,24085,24286,344107
2019-06-19,24587,24587,24286,24487,178919
2019-06-20,24487,24888,24085,24487,287954
2019-06-21,24988,25689,24887,25390,808423
2019-06-24,25491,25691,25189,25290,306333
2019-06-25,25891,26291,25590,26193,956899
2019-06-26,26291,26592,25891,25992,516097
2019-06-27,26293,26794,26093,26394,704159
2019-06-28,26394,26695,26093,26394,362354
2019-07-01,26592,26693,25891,25992,433735
2019-07-02,25992,26394,25691,26394,264488
2019-07-03,26392,26492,26092,26293,300667
2019-07-04,26292,26593,25991,26594,362634
2019-07-05,26694,26894,26393,26795,458417
2019-07-08,26793,26793,25690,25691,581000
2019-07-09,25791,26492,25690,26293,463640
2019-07-10,26492,26492,25891,26293,312943
2019-07-11,26291,26693,26192,26193,525918
2019-07-12,26293,26594,25992,26394,300566
2019-07-15,26594,27297,26293,26695,783546
2019-07-16,26795,26896,26494,26695,323628
2019-07-17,26492,26592,25991,26293,328637
2019-07-18,26193,26594,26193,26394,170819
2019-07-19,26493,27195,26393,27096,656218
2019-07-22,26996,27297,26795,26896,408551
2019-07-23,26896,27397,26695,27297,469494
2019-07-24,27297,27698,26896,27297,692256
2019-07-25,27295,27295,25690,26293,1295817
2019-07-26,25891,26492,25490,26293,701403
2019-07-29,26093,26494,25691,25892,368682
2019-07-30,25792,25992,25290,25290,467439
2019-07-31,25089,25691,24989,25491,294609
2019-08-01,25289,25790,25188,25390,249194
2019-08-02,25290,26093,24788,25792,444403
2019-08-05,25689,25890,24386,24587,597268
2019-08-06,23783,24989,23584,24487,714349
2019-08-07,24987,25087,24386,24788,424495
2019-08-08,25691,25892,25189,25491,956084
2019-08-09,25690,26693,25590,26494,780515
2019-08-12,26695,26795,25992,26093,265084
2019-08-13,26093,26594,25892,26394,361927
2019-08-14,26693,26693,25891,26193,338519
2019-08-16,25991,26091,25690,25992,300046
2019-08-19,26192,26392,25991,26193,222446
2019-08-20,26292,26493,25991,26494,369383
2019-08-21,26293,26695,26193,26394,284628
2019-08-22,26394,27096,26394,26695,597184
2019-08-23,26494,26795,26193,26695,414033
2019-08-26,26092,26693,25991,26594,374958
2019-08-27,26795,27096,26695,26896,499775
2019-08-28,26894,27094,26593,26795,255507
2019-08-29,26695,26795,26293,26695,351957
